step,loss
0,0.38084942
100,0.32006246
200,0.34249097
300,0.36487588
400,0.36239493
500,0.32688355
600,0.36593592
700,0.32952234
800,0.34484994
900,0.35962665
1000,0.33510378
1100,0.39940137
1200,0.343278
1300,0.35772017
1400,0.3204053
1500,0.3450906
1600,0.36538145
1700,0.34600967
1800,0.33646354
1900,0.34377506
2000,0.3387307
2100,0.29926744
2200,0.32769102
2300,0.3252398
2400,0.3382306
2500,0.33441824
2600,0.33781743
2700,0.35117102
2800,0.3002685
2900,0.34686127
3000,0.3061317
3100,0.34458703
3200,0.3550834
3300,0.35888407
3400,0.34483305
3500,0.31106538
3600,0.3154603
3700,0.2956787
3800,0.32657346
3900,0.3539925
4000,0.33511284
4100,0.33336377
4200,0.3062946
4300,0.2916274
4400,0.3359226
4500,0.33866078
4600,0.35076874
4700,0.32611114
4800,0.30138448
4900,0.3389033
5000,0.31720725
5100,0.282722
5200,0.30407327
5300,0.3220409
5400,0.32838616
5500,0.2969071
5600,0.3214708
5700,0.33282843
5800,0.27177644
5900,0.30914277
