step,train_acc
0,0.546875
100,0.59375
200,0.5625
300,0.515625
400,0.5
500,0.515625
600,0.46875
700,0.5
800,0.484375
900,0.40625
1000,0.609375
1100,0.359375
1200,0.453125
1300,0.4375
1400,0.65625
1500,0.5
1600,0.453125
1700,0.53125
1800,0.59375
1900,0.46875
2000,0.53125
2100,0.640625
2200,0.625
2300,0.53125
2400,0.546875
2500,0.46875
2600,0.53125
2700,0.484375
2800,0.671875
2900,0.515625
3000,0.625
3100,0.5625
3200,0.53125
3300,0.4375
3400,0.5
3500,0.5625
3600,0.546875
3700,0.671875
3800,0.5625
3900,0.5
4000,0.53125
4100,0.609375
4200,0.46875
4300,0.640625
4400,0.59375
4500,0.5
4600,0.484375
4700,0.609375
4800,0.625
4900,0.5
5000,0.625
5100,0.609375
5200,0.609375
5300,0.5
5400,0.453125
5500,0.578125
5600,0.578125
5700,0.53125
5800,0.671875
5900,0.609375
