step,loss
0,0.4520296
100,0.44761273
200,0.41881767
300,0.4581534
400,0.37712258
500,0.4301885
600,0.40241763
700,0.46659544
800,0.40483886
900,0.3712031
1000,0.41084307
1100,0.39130634
1200,0.36815405
1300,0.39265347
1400,0.3957953
1500,0.45586473
1600,0.41031152
1700,0.3744689
1800,0.43360522
1900,0.38045117
2000,0.37946826
2100,0.38327628
2200,0.40592027
2300,0.37623137
2400,0.42343763
2500,0.36174896
2600,0.46470803
2700,0.40955487
2800,0.38928035
2900,0.4122996
3000,0.37397242
3100,0.40047
3200,0.4158078
3300,0.38141742
3400,0.3711849
3500,0.43602145
3600,0.35970262
3700,0.39197528
3800,0.3824577
3900,0.37451902
4000,0.35478365
4100,0.41469944
4200,0.379061
4300,0.37941194
4400,0.3872577
4500,0.35703775
4600,0.3758126
4700,0.37883523
4800,0.32849964
4900,0.32598925
5000,0.4285325
5100,0.3601618
5200,0.35243365
5300,0.39440525
5400,0.33689156
5500,0.36487606
5600,0.3310566
5700,0.36934716
5800,0.36647487
5900,0.3795112
6000,0.36637983
