step,train_acc
0,0.28125
100,0.25
200,0.375
300,0.25
400,0.46875
500,0.3125
600,0.40625
700,0.125
800,0.40625
900,0.5
1000,0.40625
1100,0.4375
1200,0.4375
1300,0.34375
1400,0.40625
1500,0.28125
1600,0.3125
1700,0.5
1800,0.28125
1900,0.46875
2000,0.4375
2100,0.4375
2200,0.4375
2300,0.46875
2400,0.3125
2500,0.46875
2600,0.28125
2700,0.40625
2800,0.40625
2900,0.25
3000,0.53125
3100,0.375
3200,0.46875
3300,0.5
3400,0.46875
3500,0.28125
3600,0.46875
3700,0.375
3800,0.5625
3900,0.5
4000,0.5
4100,0.40625
4200,0.4375
4300,0.46875
4400,0.3125
4500,0.53125
4600,0.40625
4700,0.5
4800,0.53125
4900,0.53125
5000,0.375
5100,0.5
5200,0.53125
5300,0.40625
5400,0.5
5500,0.53125
5600,0.65625
5700,0.53125
5800,0.46875
5900,0.46875
6000,0.34375
