step,loss
0,0.58799464
100,0.5227794
200,0.510664
300,0.46358868
400,0.39266238
500,0.41707835
600,0.32967526
700,0.38141936
800,0.32863268
900,0.38483116
1000,0.29320085
1100,0.31240168
1200,0.27646375
1300,0.26580265
1400,0.2631356
1500,0.29138651
1600,0.20442301
1700,0.19366723
1800,0.25505587
1900,0.21184035
2000,0.22088148
2100,0.15544745
2200,0.19287102
2300,0.18755776
2400,0.17823242
2500,0.20417635
2600,0.13762546
2700,0.1271872
2800,0.12838584
2900,0.1418523
3000,0.14375706
3100,0.14711541
3200,0.1528168
3300,0.13524178
3400,0.12747294
3500,0.12918703
3600,0.13702652
3700,0.11060919
3800,0.10678993
3900,0.077318095
4000,0.117553815
4100,0.113015056
4200,0.09445236
4300,0.08264428
4400,0.09674541
4500,0.068231486
4600,0.10396444
4700,0.08595566
4800,0.08194668
4900,0.08756702
5000,0.08024921
5100,0.114926524
5200,0.06536377
5300,0.07964677
5400,0.0549386
5500,0.052488305
5600,0.07643455
5700,0.043125257
5800,0.053695492
5900,0.05312828
6000,0.06253635
